,epoch,d_loss,g_loss
0,1.0,2.304691791534424,10.075234413146973
1,2.0,2.3637256622314453,8.239273071289062
2,3.0,1.8851786851882935,5.506728172302246
3,4.0,1.5166629552841187,3.660120964050293
4,5.0,1.3243118524551392,2.8894991874694824
5,6.0,1.2867765426635742,2.983318328857422
6,7.0,1.2038451433181763,2.6604928970336914
7,8.0,1.1708853244781494,2.271493911743164
8,9.0,1.269101619720459,2.461726188659668
9,10.0,1.1979261636734009,2.368131637573242
10,11.0,1.0903265476226807,2.374356269836426
11,12.0,1.2141908407211304,2.2761905193328857
12,13.0,1.0872267484664917,2.136068820953369
13,14.0,1.0133421421051025,2.009434700012207
14,15.0,1.1490670442581177,1.7465825080871582
15,16.0,1.0645742416381836,1.7809265851974487
16,17.0,1.1855759620666504,1.4377474784851074
17,18.0,1.1313984394073486,1.5691912174224854
18,19.0,1.0707440376281738,1.7177321910858154
19,20.0,1.1272631883621216,1.4328993558883667
20,21.0,1.0081162452697754,1.5418214797973633
21,22.0,0.9835997819900513,1.6514174938201904
22,23.0,1.0161938667297363,1.4692778587341309
23,24.0,1.0523260831832886,0.9791055917739868
24,25.0,1.2890045642852783,1.2639291286468506
25,26.0,1.0433573722839355,1.1213648319244385
26,27.0,1.069193959236145,0.9628176689147949
27,28.0,1.124149203300476,0.8401103019714355
28,29.0,0.9947257041931152,1.0408539772033691
29,30.0,1.0040998458862305,1.0043985843658447
30,31.0,1.0555416345596313,0.884380578994751
31,32.0,0.8995327949523926,0.8462302684783936
32,33.0,0.9468460083007812,0.7699337601661682
33,34.0,0.8566694259643555,0.8351804614067078
34,35.0,0.9107012748718262,0.8103041052818298
35,36.0,0.908916711807251,0.8047173023223877
36,37.0,0.905407190322876,0.8093479871749878
37,38.0,0.9207261204719543,0.7052631974220276
38,39.0,0.8539246320724487,0.7779978513717651
39,40.0,0.860628604888916,0.761093258857727
40,41.0,0.8362807035446167,0.7604601979255676
41,42.0,0.8841513395309448,0.7499555945396423
42,43.0,0.8945317268371582,0.7377488613128662
43,44.0,0.8330821394920349,0.7394951581954956
44,45.0,0.8302218914031982,0.7194592356681824
45,46.0,0.827513575553894,0.7674554586410522
46,47.0,0.8208016157150269,0.7668477296829224
47,48.0,0.8223778009414673,0.7358489036560059
48,49.0,0.877199649810791,0.7382601499557495
49,50.0,0.7656424045562744,0.722437858581543
