,epoch,d_loss,g_loss
0,1.0,2.3751187324523926,11.863954544067383
1,2.0,1.4420324563980103,12.862126350402832
2,3.0,1.4804325103759766,12.232200622558594
3,4.0,2.0142855644226074,10.506255149841309
4,5.0,2.99216365814209,9.217187881469727
5,6.0,3.656813144683838,8.2527494430542
6,7.0,3.3356258869171143,8.601722717285156
7,8.0,3.459571361541748,7.489141464233398
8,9.0,3.61426043510437,7.109880447387695
9,10.0,4.378780364990234,7.236368656158447
10,11.0,3.9928698539733887,7.093427658081055
11,12.0,3.8476734161376953,8.025921821594238
12,13.0,3.5611114501953125,7.334816932678223
13,14.0,3.946005344390869,6.726256847381592
14,15.0,4.432416915893555,6.222321510314941
15,16.0,4.045745849609375,6.072167873382568
16,17.0,3.8724205493927,6.310748100280762
17,18.0,3.8000380992889404,6.168680667877197
18,19.0,3.9830687046051025,5.547321796417236
19,20.0,3.6929993629455566,5.865252494812012
20,21.0,3.546217441558838,6.147826194763184
21,22.0,3.242353916168213,6.356207370758057
22,23.0,2.7846996784210205,6.125357627868652
23,24.0,2.7921135425567627,6.120667457580566
24,25.0,2.9036331176757812,6.948765754699707
25,26.0,3.1542015075683594,6.783574104309082
26,27.0,3.3100357055664062,5.599308967590332
27,28.0,3.03024959564209,5.810321807861328
28,29.0,3.3159737586975098,6.169573783874512
29,30.0,2.974470853805542,5.44985818862915
30,31.0,3.1046712398529053,5.938906669616699
31,32.0,3.3629064559936523,5.388814926147461
32,33.0,3.398801326751709,4.853772163391113
33,34.0,3.3653082847595215,5.811908721923828
34,35.0,3.5982868671417236,5.003870964050293
35,36.0,3.324909210205078,4.566096782684326
36,37.0,3.290065050125122,5.1310529708862305
37,38.0,3.153604507446289,4.8686676025390625
38,39.0,3.0236361026763916,5.151047706604004
39,40.0,2.664841890335083,5.020348072052002
40,41.0,2.9223411083221436,4.947030067443848
41,42.0,2.9508252143859863,4.761746406555176
42,43.0,2.9880666732788086,4.670746803283691
43,44.0,2.929055690765381,4.531415939331055
44,45.0,2.620784282684326,4.035676956176758
45,46.0,2.538479804992676,4.523608207702637
46,47.0,2.795616626739502,4.939316749572754
47,48.0,2.436615228652954,5.331845760345459
48,49.0,2.3910717964172363,4.5858659744262695
49,50.0,2.3688697814941406,4.986065864562988
50,51.0,2.71101450920105,4.622751235961914
51,52.0,2.6867308616638184,4.2495245933532715
52,53.0,2.6482737064361572,4.464332103729248
53,54.0,2.386545181274414,4.917159080505371
54,55.0,2.4152519702911377,4.608381748199463
55,56.0,2.3294172286987305,6.040300369262695
56,57.0,2.5039265155792236,5.151612758636475
57,58.0,2.226147413253784,5.229554176330566
58,59.0,2.1063928604125977,5.706117153167725
59,60.0,1.9906582832336426,5.049051284790039
60,61.0,2.3237781524658203,4.22299861907959
61,62.0,2.195032835006714,5.163217544555664
62,63.0,2.2922849655151367,4.026916027069092
63,64.0,2.2699248790740967,5.053762912750244
64,65.0,2.117943048477173,4.549532413482666
65,66.0,2.131873607635498,3.9175732135772705
66,67.0,2.145477771759033,4.362298488616943
67,68.0,2.2366116046905518,4.254743576049805
68,69.0,2.1028823852539062,4.463245391845703
69,70.0,1.954646110534668,4.606983184814453
70,71.0,2.0386366844177246,3.810535430908203
71,72.0,2.0650720596313477,3.3951897621154785
72,73.0,2.0458011627197266,3.849144458770752
73,74.0,2.0197606086730957,3.379828453063965
74,75.0,1.920173168182373,3.587273597717285
75,76.0,1.9957823753356934,3.1802401542663574
76,77.0,1.9045766592025757,3.457858085632324
77,78.0,2.010344982147217,3.836435317993164
78,79.0,1.9210405349731445,4.164454460144043
79,80.0,1.7971527576446533,3.742790937423706
80,81.0,1.7784653902053833,3.7077136039733887
81,82.0,1.9456404447555542,4.399664878845215
